FIPS,OBJECTID,Countyname,ST_Name,ST_Abbr,ST_ID,FatalityRa,Confirmedb,DeathsbyPo,PCTPOVALL_,Unemployme,Med_HH_Inc,State_Fata,DateChecke,EM_type,EM_date,EM_notes,url,Thumbnail,Confirmed,Deaths,Age_85,Age_80_84,Age_75_79,Age_70_74,Age_65_69,Beds_Licen,Beds_Staff,Beds_ICU,Ventilator,POP_ESTIMA,POVALL_201,Unemployed,Median_Hou,Recovered,Active,State_Conf,State_Deat,State_Reco,State_Test,AgedPop,NewCases,NewDeaths,TotalPop,NonHispWhP,BlackPop,AmIndop,AsianPop,PacIslPop,OtherPop,TwoMorPop,HispPop,Wh_Alone,Bk_Alone,AI_Alone,As_Alone,NH_Alone,SO_Alone,Two_More,Not_Hisp,Age_Less15,Age_15_24,Age_25_34,Age_Over75,Agetotal,NonHisp,Age_35_64,Age_65_74,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,NewCasebyP,Inpat_Occ,ICU_Occ,Inpat_Cap,Inpat_COV,Inp_nonCOV,ICU_Cap,ICU_COV,ICU_nonCOV,Shape__Area,Shape__Length,"Poverty Estimate, All Ages",NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,ADULT_ICU_BEDS,PEDI_ICU_BEDS,BED_UTILIZATION,AVG_VENTILATOR_USAGE,Potential_Increase_In_Bed_Capac,Population
0,3328, , , ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/09/2021 11:02:38, , , ,https://bao.arcgis.com/covid-19/jhu/county/00000.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,78,37,19,33,59,46,67,77,54,27,43,46,37,0.0,16.500553709856,29.5081967213115,516.0,6.571428571428571,78.5714285714286,8.714285714285719,0.0,2.57142857142857,,,39490096,673.0,673.0,76.0,76.0,0.0,,,0.0,260236655.0
0,3329, , , ,0,0.0,0.0,0.0,0.0,0.0,0.0,2.9126213592232997,04/09/2021 11:02:38, , , ,https://bao.arcgis.com/covid-19/jhu/county/00000.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,78,37,19,33,59,46,67,77,54,27,43,46,37,0.0,16.500553709856,29.5081967213115,516.0,6.571428571428571,78.5714285714286,8.714285714285719,0.0,2.57142857142857,,,39490096,673.0,673.0,76.0,76.0,0.0,,,0.0,260236655.0
0,3330, , , ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.73690932311622,04/09/2021 11:02:38, , , ,https://bao.arcgis.com/covid-19/jhu/county/00000.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7830,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,78,37,19,33,59,46,67,77,54,27,43,46,37,0.0,16.500553709856,29.5081967213115,516.0,6.571428571428571,78.5714285714286,8.714285714285719,0.0,2.57142857142857,,,39490096,673.0,673.0,76.0,76.0,0.0,,,0.0,260236655.0
0,3331, , , ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,04/09/2021 11:02:38, , , ,https://bao.arcgis.com/covid-19/jhu/county/00000.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,78,37,19,33,59,46,67,77,54,27,43,46,37,0.0,16.500553709856,29.5081967213115,516.0,6.571428571428571,78.5714285714286,8.714285714285719,0.0,2.57142857142857,,,39490096,673.0,673.0,76.0,76.0,0.0,,,0.0,260236655.0
0,3332, , , ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/09/2021 11:02:38, , , ,https://bao.arcgis.com/covid-19/jhu/county/00000.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,78,37,19,33,59,46,67,77,54,27,43,46,37,0.0,16.500553709856,29.5081967213115,516.0,6.571428571428571,78.5714285714286,8.714285714285719,0.0,2.57142857142857,,,39490096,673.0,673.0,76.0,76.0,0.0,,,0.0,260236655.0
0,3333, , , ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.875126220127903,04/09/2021 11:02:38, , , ,https://bao.arcgis.com/covid-19/jhu/county/00000.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2971,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,78,37,19,33,59,46,67,77,54,27,43,46,37,0.0,16.500553709856,29.5081967213115,516.0,6.571428571428571,78.5714285714286,8.714285714285719,0.0,2.57142857142857,,,39490096,673.0,673.0,76.0,76.0,0.0,,,0.0,260236655.0
1001,1,Autauga,Alabama,AL,1,1.5368546702476902,12101.84,185.987721198989,15.2,3.7,116.216162735476,2.06114505054874,04/09/2021 11:02:38,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01001.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,6702,103,884,901,1680,2441,2377,85,55,6,2,55380,8340,936,58731,0,0,517916,10675,0,0,8283,27,1,55380,41315,10524,140,573,5,85,1173,1565,42527,10538,140,573,26,378,1198,53815,10631,7382,7056,3465,55380,1565,22028,4818,27,31,24,1,2,11,11,6,9,3,7,8,19,3,48.7540628385699,44.01993355481729,92.85714285714279,86.0,5.28571428571429,32.5714285714286,6.0,2.14285714285714,3.4285714285714306,2209382006.4843802,246839.865478895,6723,85.0,55.0,6.0,6.0,0.0,0.5846498,2.0,30.0,47936.0
1003,2,Baldwin,Alabama,AL,1,1.45715951039441,9673.45,140.957571770897,10.4,4.3,115.402881114453,2.06114505054874,04/09/2021 11:02:38,Govt Ordered Community Quarantine,4/3/2020 10:41:19 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01003.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,20588,300,4048,4603,8141,12305,13434,386,362,51,8,212830,21704,4226,58320,0,0,517916,10675,0,0,42531,15,-1,212830,176803,19525,1391,1955,9,344,3092,9711,183471,19718,1645,1969,9,2429,3589,203119,38009,23709,23942,16792,212830,9711,84639,25739,15,22,9,1,15,7,-4,18,13,5,14,20,30,6,7.047878588544849,51.9036771884152,84.375,439.0,10.5714285714286,217.285714285714,32.0,3.85714285714286,23.142857142857103,5770469339.71875,728445.0724475441,22360,386.0,332.0,51.0,51.0,0.0,0.6545803674999999,2.0,54.0,165526.0
1005,3,Barbour,Alabama,AL,1,2.45098039215686,8848.23,216.86842001498403,30.7,9.2,64.3600601551369,2.06114505054874,04/09/2021 11:02:38,Govt Ordered Community Quarantine,4/3/2020 10:43:21 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01005.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,2244,55,405,606,855,1391,1453,74,30,5,2,25361,6875,849,32525,0,0,517916,10675,0,0,4710,5,0,25361,11618,12031,74,121,1,107,304,1105,11869,12066,82,134,1,905,304,24256,4393,3004,3642,1866,25361,1105,9612,2844,5,1,6,0,1,3,1,0,0,1,0,2,3,3,19.715310910453102,53.602305475504295,0.0,49.571428571428605,1.0,25.571428571428598,5.0,0.0,0.0,3258643456.94141,307285.154510411,5909,74.0,30.0,5.0,5.0,0.0,0.37872148,2.0,44.0,28849.0
1007,4,Bibb,Alabama,AL,1,2.265625,11381.32,257.85800026674997,18.1,7.3,94.07551052714899,2.06114505054874,04/09/2021 11:02:38,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01007.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,2560,58,442,411,633,909,1189,35,25,4,1,22493,3740,659,47542,0,0,517916,10675,0,0,3584,3,0,22493,16763,4981,30,27,0,0,113,579,17272,5014,30,27,0,9,141,21914,3666,2659,3276,1486,22493,579,9308,2098,3,8,3,0,1,1,1,1,5,1,0,1,0,1,13.337482772418099,28.571428571428598,,34.0,0.0,9.714285714285712,0.0,0.0,0.0,2310715490.6718802,227886.963840211,4101,35.0,25.0,4.0,4.0,0.0,0.43090412,1.0,10.0,21146.0
