,County,S,E,Ia,Is,R,P
0,Mercer,12382.0,13998.0,6999.0,6999.0,0.0,61.910000000000004
0,Suffolk,32053.0,22572.0,11286.0,11286.0,0.0,160.26500000000001
0,,68779.0,71202.0,35601.0,35601.0,0.0,343.895
1,Mercer,12057.59039769535,13060.710848065839,6851.682645092239,7337.013079662421,1042.8057895545207,1061.237817327559
1,Suffolk,31144.87424619706,21427.56030562982,11053.562267295536,11842.983889664853,1681.9686891980382,1762.3016561637648
1,,66941.86457905413,66612.59127123708,34854.15341864004,37326.15466914787,5304.528443207693,5422.558494286966
2,Mercer,11738.449166556482,12201.85501105845,6690.975926062004,7593.978490899915,2096.0830295875076,1917.8396523357617
2,Suffolk,30259.445584356512,20363.387125400048,10808.39982476952,12289.964102614007,3383.216307800694,3138.371750924261
2,,65140.068103958874,62398.16978342125,34043.47225552406,38649.020506624714,10663.48251013775,9777.253998253318
3,Mercer,11425.167771240564,11413.89340937045,6519.862837032081,7780.495137737661,3153.3605750084707,2647.3344288071753
3,Suffolk,29396.863525893095,19372.200859747667,10553.499609281465,12639.777433932491,5095.262990129878,4315.1015469221475
3,,63374.73399704412,58524.28224242778,33183.23786024873,39621.428634857955,16044.88573005295,13488.119160274899
4,Mercer,11117.94053030995,10690.328098298613,6340.922638088293,7905.954056004869,4209.111100377808,3263.8635080428044
4,Suffolk,28556.80800245517,18447.807585255377,10291.452616221823,12903.908185797258,6810.7333641283185,5316.04536062479
4,,61646.419049554344,54960.07444618312,32285.81310840889,40289.381570493315,21421.360317784318,16627.442658675936
5,Mercer,10816.903208191054,10025.295325539979,6156.380066872251,7978.672677205159,5258.638805929277,3780.206721181667
5,Suffolk,27738.90753733972,17584.613638703595,10024.502173921906,13092.632111726423,8523.23465036765,6162.049253405531
5,,59955.48771750161,51677.62240505512,31361.867806100832,40693.678147272076,26769.58509593404,19260.341949859278
6,Mercer,10522.152837516365,9413.490412238294,5968.147156553871,8006.010379909521,6297.979854801842,4207.8930265137915
6,Suffolk,26942.766564171205,16777.546368011335,9754.584329097097,13215.139680024578,10227.247690716558,6871.569966773201
6,,58302.14867845398,48651.637489068584,30420.576551988575,40870.4664954835,32069.81506112798,21445.392834254122
7,Mercer,10233.755098061922,8850.110895698435,5777.860390794905,7994.471888985629,7323.81353676487,4557.30551116093
7,Suffolk,26167.97381329853,16021.999786022398,9483.363554040629,13279.646293313535,11918.029439635766,7460.954432808687
7,,56686.47670596835,45859.21030797879,29469.795894423845,40851.74248603206,37305.45088133098,23235.217584888367
8,Mercer,9951.748830038174,8330.807577073365,5586.913623681857,7949.799539185727,8333.383509239968,4837.779971926671
8,Suffolk,25414.106834898404,15313.788708673052,9212.264520105817,13293.49137066663,13591.525648525392,7944.685184853363
8,,55108.42970752618,43279.58320155356,28516.221028206055,40665.79386020874,42462.65813998507,24677.0270894177
9,Mercer,9676.14962029162,7851.640687634493,5396.487449526326,7877.056154769518,9324.427565944154,5057.697245778242
9,Suffolk,24680.735109939404,14649.108322445049,8942.500385585949,13263.227469824786,15244.29274660159,8335.595886894516
9,,53567.863700220514,40893.94391260547,27565.52611537238,40337.60069211148,47530.02649666812,25813.122999053034
10,Mercer,9406.952763525014,7409.040630110669,5207.575246106849,7780.699101798812,10295.115407599818,5224.569126380486
10,Suffolk,23967.422521877783,14024.497965204795,8675.097982880829,13194.700484841585,16873.427965124047,8645.060852251612
10,,52064.545875340635,38685.240025061605,26622.488585700292,39889.19298948571,52498.26789139142,26681.359089465084
11,Mercer,9144.135850842858,6999.77254462103,5021.006332496437,7664.646641973458,11243.993369222611,5345.118031519843
11,Suffolk,23273.729421400603,13436.808505192534,8410.920252321055,13093.121857543423,18476.506824338656,8883.162018254201
11,,50598.166243548556,36638.01119658133,25691.099677038917,39339.97126754881,57359.94831474668,27315.56484433777
12,Mercer,8887.661053431562,6620.904334283212,4837.46651662682,7532.337293801678,12169.935436967922,5425.35063448562
12,Suffolk,22599.21437874327,12883.172931631658,8150.68619597946,12963.133548934713,20051.52727356707,9058.836044663287
12,,49168.348052103574,34738.23738454641,24774.66270922155,38706.99395489777,62109.2494928147,27745.933657300237
