,S,E,Ia,Is,R,P,County
0,12382.0,13998.0,6999.0,6999.0,0.0,61.910000000000004,Mercer
1,12057.59039769535,13060.710848065839,6851.682645092239,7337.013079662421,1042.8057895545207,1061.237817327559,Mercer
2,11738.449166556482,12201.85501105845,6690.975926062004,7593.978490899915,2096.0830295875076,1917.8396523357617,Mercer
3,11425.167771240564,11413.89340937045,6519.862837032081,7780.495137737661,3153.3605750084707,2647.3344288071753,Mercer
4,11117.94053030995,10690.328098298613,6340.922638088293,7905.954056004869,4209.111100377808,3263.8635080428044,Mercer
5,10816.903208191054,10025.295325539979,6156.380066872251,7978.672677205159,5258.638805929277,3780.206721181667,Mercer
6,10522.152837516365,9413.490412238294,5968.147156553871,8006.010379909521,6297.979854801842,4207.8930265137915,Mercer
7,10233.755098061922,8850.110895698435,5777.860390794905,7994.471888985629,7323.81353676487,4557.30551116093,Mercer
8,9951.748830038174,8330.807577073365,5586.913623681857,7949.799539185727,8333.383509239968,4837.779971926671,Mercer
9,9676.14962029162,7851.640687634493,5396.487449526326,7877.056154769518,9324.427565944154,5057.697245778242,Mercer
10,9406.952763525014,7409.040630110669,5207.575246106849,7780.699101798812,10295.115407599818,5224.569126380486,Mercer
11,9144.135850842858,6999.77254462103,5021.006332496437,7664.646641973458,11243.993369222611,5345.118031519843,Mercer
12,8887.661053431562,6620.904334283212,4837.46651662682,7532.337293801678,12169.935436967922,5425.35063448562,Mercer
13,8637.477152456422,6269.77775981187,4657.516341538604,7386.782993673641,13072.099811356382,5470.625690262995,Mercer
14,8393.521344610399,5943.982333807799,4481.60724827376,7230.616620144404,13949.890488793642,5485.716347921189,Mercer
15,8155.720852938837,5641.33172504688,4310.095889826034,7066.134487361937,14802.923295369073,5474.86725758276,Mercer
16,7923.99436479357,5359.842426728287,4143.256797223959,6895.334329328896,15630.995886617202,5441.846773306819,Mercer
17,7698.253315097105,5097.714472372858,3981.2935735776173,6719.949233499118,16434.06128776449,5389.994590240049,Mercer
18,7478.403031311319,4853.313998885213,3824.348778262737,6541.477947632046,17212.204582342045,5322.265132458542,Mercer
19,7264.343754144481,4625.157481120592,3672.5126422554426,6361.211930075359,17965.622408201532,5241.266996677175,Mercer
20,7055.971543493992,4411.897516748859,3525.8307110929704,6180.259397831752,18694.605027693247,5149.298682288496,Mercer
21,6853.17909507999,4212.309840286667,3384.3106718422187,5999.567047121026,19399.520352212265,5048.3811911583825,Mercer
22,6655.856451544054,4025.2817623124483,3247.9282012491662,5819.939025459316,20080.800315193992,4940.28724929042,Mercer
23,6463.891643581213,3849.801588396315,3116.6321927839904,5642.054094118181,20738.92872868495,4826.567915413845,Mercer
24,6277.171253830306,3684.9491002758973,2990.3492904340346,5466.480798565001,21374.430798370227,4708.576517136679,Mercer
25,6095.580917403128,3529.886923534623,2868.9878673728745,5293.691012742417,21987.86396334763,4587.4902238052955,Mercer
26,5919.005762577055,3383.8527329290137,2752.4414805161937,5124.071947743384,22579.809986284636,4464.32953208629,Mercer
27,5747.33079870498,3246.1522022218796,2640.5918738733712,4957.936818564479,23150.86811789449,4339.975761306732,Mercer
28,5580.441257410617,3116.152618939666,2533.3115893436297,4795.534328714217,23701.649194382953,4215.186753654024,Mercer
