FIPS,Median_Hou,NewCases,Asian_by_pop,Confirmed,NewDeaths,Deaths,Population_density,Otherpop_by_pop,Countyname,ST_Name,Older_by_pop
1001,58731,27,0.011953437917222963,6702,1,103,2.1696564858096617e-05,0.0017731975967957276,Autauga,Alabama,0.17279289052069427
1003,58320,15,0.011810833343402246,20588,-1,300,2.8685015075059328e-05,0.0020782233606804973,Baldwin,Alabama,0.25694452835204135
1005,32525,5,0.004194252833720406,2244,0,55,8.853070420621565e-06,0.0037089673818849873,Barbour,Alabama,0.16326389129605878
1007,47542,3,0.0012768372268987043,2560,0,58,9.15127807181984e-06,0.0,Bibb,Alabama,0.16948831930388725
1009,49358,3,0.003915556951037068,6472,1,134,2.20446725057441e-05,0.003952496167556286,Blount,Alabama,0.19071717488872061
1011,37785,2,0.004668534080298786,1213,0,40,4.735556380221435e-06,9.337068160597572e-05,Bullock,Alabama,0.1531279178338002
1013,40688,3,0.0034612490594431904,2119,0,66,7.131704743790886e-06,0.0,Butler,Alabama,0.19563581640331076
1015,47255,12,0.009205005621726372,14263,0,310,4.756272832255858e-05,0.0016910884210718758,Calhoun,Alabama,0.18042542300063072
1017,42289,3,0.010956349437612915,3494,1,122,1.544206476552537e-05,0.0004953668628707966,Chambers,Alabama,0.18853080016317966
1019,41919,2,0.0026408087476789766,1818,0,43,1.0648459329572006e-05,0.0,Cherokee,Alabama,0.2397771817619146
1021,47468,4,0.0047763680007838144,4073,0,109,1.5834396072306667e-05,0.0010532503796600206,Chilton,Alabama,0.17273306226424337
1023,35892,1,0.0012015832626519648,585,0,24,4.251776769895691e-06,0.0006361323155216285,Choctaw,Alabama,0.20653095843935537
1025,37404,0,0.00398360592944421,3457,0,60,5.810008887867376e-06,0.0,Clarke,Alabama,0.17922396292182174
1027,40845,2,0.00156564526951465,1490,0,54,5.956470299391123e-06,0.0013419816595839856,Clay,Alabama,0.20114813986431074
1029,44741,2,0.0002087246921310791,1458,0,41,6.829367431565119e-06,0.0009044736659013428,Cleburne,Alabama,0.0
1031,55637,0,0.017082846070945405,5393,1,112,1.7971686823871686e-05,0.001307009699387769,Coffee,Alabama,0.19605145490816536
1033,48065,3,0.004829206443914081,6196,0,129,2.2389332079718343e-05,0.0005407219570405727,Colbert,Alabama,0.19846360381861575
1035,37837,3,0.004286917247186711,1090,1,28,4.295324201698886e-06,0.00015310418739952538,Conecuh,Alabama,0.21021204929954834
1037,38990,7,0.0,989,1,27,4.3319393913443835e-06,0.005170144764053393,Coosa,Alabama,0.0
1039,42189,2,0.003930687039805127,4053,0,112,9.735063354801473e-06,0.00013840447323257488,Covington,Alabama,0.2138625920389747
1041,43163,-2,0.01332419674128217,1491,0,57,5.990075013856141e-06,0.0,Crenshaw,Alabama,0.19864473884574388
1043,44918,13,0.00401016589826439,9450,0,188,2.735332541214144e-05,0.0006130189908174863,Cullman,Alabama,0.19304989719160676
1045,47214,0,0.013277551469778708,4764,1,109,2.2618565550565505e-05,0.003523065066607949,Dale,Alabama,0.1779368050203677
1047,33845,5,0.005272282518346118,3519,0,149,1.164657114324913e-05,0.0,Dallas,Alabama,0.1617070795829672
1049,40440,9,0.0013460635467209266,8727,0,181,2.1483203313279496e-05,0.0003130380341211457,DeKalb,Alabama,0.18599154797307874
1051,60891,0,0.005890640724589064,9977,0,199,3.0991912542748365e-05,0.002321368668232137,Elmore,Alabama,0.1617309627641731
1053,36275,3,0.0027572784040223825,3872,0,74,1.0940691162815008e-05,0.0011083177898521342,Escambia,Alabama,0.1774930392236369
1055,44637,0,0.00762011150896161,13654,0,345,4.8321591303928666e-05,0.0005286203010143525,Etowah,Alabama,0.19206870069119597
1057,39856,5,0.004455360712857714,2086,1,60,7.405395665502966e-06,0.0,Fayette,Alabama,0.19637859142057462
1059,43514,4,0.00412640191860055,4195,0,82,1.1496108639581563e-05,0.0003526839246667137,Franklin,Alabama,0.18706355364322494
1061,41732,2,0.0045589692765113975,2457,0,75,1.2305007242599092e-05,0.0,Geneva,Alabama,0.2091179385530228
