,S,E,Ia,Is,R,P,County
0,32053.0,22572.0,11286.0,11286.0,0.0,160.26500000000001,Suffolk
1,31149.588707829433,21427.610057873542,11053.562611936297,11842.984693826396,1677.2033260883563,1762.3016759333705,Suffolk
2,30278.147890066528,20363.773371887237,10808.40512788332,12289.97647654623,3364.1100651999645,3138.372345649049,Suffolk
3,29438.563029482957,19373.465470411003,10553.525424057105,12639.837668409175,5052.212728453681,4315.105793486549,Suffolk
4,28630.215369805785,18450.71490823906,10291.531056438562,12904.091212969763,6734.156805998927,5316.062193237873,Suffolk
5,27852.40711992951,17590.11995674126,10024.686274331836,13093.061679349363,8403.61389904861,6162.097586090065,Suffolk
6,27104.394922832606,16786.77146734116,9754.951293350048,13215.99592994825,10055.168170396528,6871.683156643897,Suffolk
7,26385.40360253557,16036.200616571634,9484.017028470817,13281.17106698411,11684.214613939997,7461.184748264367,Suffolk
8,25694.635350361506,15334.335093569212,9213.3360199145,13295.991536887032,13286.867840450592,7945.108034688429,Suffolk
9,25031.276875437474,14677.460658471122,8944.149990021275,13267.076546832282,14859.88035813003,8336.313637253455,Suffolk
10,24394.505363310214,14062.186843253061,8677.514405662478,13200.338804645315,16400.569370110916,8646.20611724313,Suffolk
11,23783.493539941832,13485.41617013388,8414.320383201682,13101.055496235853,17906.751186869813,8884.900356809649,Suffolk
12,23197.413988183445,12944.316494776514,8155.314200597664,12973.93222634119,19376.68252621124,9061.368029751357,Suffolk
13,22635.442840894048,12436.296103979055,7901.114677806664,12823.160640135784,20809.007985325905,9183.566741913704,Suffolk
14,22096.76293387734,11958.98127461347,7652.2286522857685,12652.470353477178,22202.713055446722,9258.554029530058,Suffolk
15,21580.566485440253,11510.196041258952,7409.064750134,12465.175750734494,23557.082118743987,9292.588075681302,Suffolk
16,21086.057359415965,11087.94394855902,7171.945632000202,12264.21815141926,24871.660926205714,9291.216764863126,Suffolk
17,20612.452961279847,10690.391588031083,6941.118875321298,12052.203800636427,26146.223101428597,9259.356497785111,Suffolk
18,20158.98581845228,10315.85371027803,6716.766661388655,11831.438160313719,27380.74019418838,9201.362207795926,Suffolk
19,19724.90486465332,9962.779824710111,6499.014338603784,11603.956708363658,28575.355078210476,9121.089114512728,Suffolk
20,19309.476481486683,9629.742067468156,6287.938038644691,11371.552747051077,29730.358193215383,9021.947735513295,Suffolk
21,18911.985320539796,9315.424236212344,6083.571426855623,11135.802458053124,30846.166396104705,8906.952772840594,Suffolk
22,18531.734930458806,9018.611884920905,5885.9116722346125,10898.087455019462,31923.304173423425,8778.766457300706,Suffolk
23,18168.04821593692,8738.183362513022,5694.9247302916665,10659.615103176631,32962.386947911495,8639.737154211569,Suffolk
24,17820.26774907209,8473.1017052222,5510.550009980487,10421.436817877338,33964.106270640754,8491.933708447139,Suffolk
25,17487.755951968476,8222.407298858181,5332.704491044847,10184.464539241608,34929.21670486972,8337.176009090641,Suffolk
26,17169.89516875214,7985.211230014423,5161.286355721368,9949.48557313575,35858.52421466892,8177.062249809778,Suffolk
27,16866.087639537385,7760.689268179243,4996.17817972852,9717.17593649522,36752.87592409594,8012.993196211287,Suffolk
28,16575.755392697673,7548.076405392577,4837.249740185941,9488.112379763019,37613.15107755703,7846.193846632205,Suffolk
