,Susceptible,Exposed,Infectious,Quarantined,Recovered,Deaths,Vaccinated,Population
1.0,326103140.0,988903,820407.0,24514.0,206169.0,56867,0.0,328200000
2.0,326006601.0,1013417,838291.0,27508.0,255235.0,58948,0.0,328200000
3.0,325941718.0,1040925,858222.0,29478.0,268204.0,61453,0.0,328200000
4.0,326025592.0,1070403,852481.0,34222.0,153947.0,63355,0.0,328200000
5.0,325962653.0,1104625,874503.0,28887.0,164015.0,65317,0.0,328200000
6.0,325908162.0,1133512,890788.0,25259.0,175382.0,66897,0.0,328200000
7.0,325860163.0,1158771,910206.0,22435.0,180152.0,68273,0.0,328200000
8.0,325813635.0,1181206,924273.0,24154.0,187180.0,69552,0.0,328200000
9.0,325765354.0,1205360,943496.0,24371.0,189791.0,71628,0.0,328200000
10.0,325712888.0,1229731,965262.0,28377.0,189910.0,73832,0.0,328200000
11.0,325657461.0,1258108,986325.0,27011.0,195036.0,76059,0.0,328200000
12.0,325604666.0,1285119,1007756.0,25880.0,198993.0,77586,0.0,328200000
13.0,325559446.0,1310999,1018221.0,19613.0,212534.0,79187,0.0,328200000
14.0,325521342.0,1330612,1033565.0,18323.0,216169.0,79989,0.0,328200000
15.0,325480430.0,1348935,1034466.0,22256.0,232733.0,81180,0.0,328200000
16.0,325438039.0,1371191,1056911.0,20723.0,230287.0,82849,0.0,328200000
17.0,325390226.0,1391914,1062857.0,27013.0,243430.0,84560,0.0,328200000
18.0,325337734.0,1418927,1085462.0,25117.0,246414.0,86346,0.0,328200000
19.0,325287630.0,1444044,1104547.0,25059.0,250747.0,87973,0.0,328200000
20.0,325243577.0,1469103,1110690.0,19071.0,268376.0,89183,0.0,328200000
21.0,325202894.0,1488174,1124930.0,21694.0,272265.0,90043,0.0,328200000
22.0,325160883.0,1509868,1134783.0,20406.0,283178.0,90882,0.0,328200000
23.0,325117638.0,1530274,1147255.0,23080.0,289392.0,92361,0.0,328200000
24.0,325068901.0,1553354,1164102.0,25471.0,294312.0,93860,0.0,328200000
25.0,325019732.0,1578825,1184027.0,23913.0,298418.0,95085,0.0,328200000
26.0,324974615.0,1602738,1154823.0,21352.0,350135.0,96337,0.0,328200000
27.0,324932508.0,1624090,1164286.0,20457.0,361239.0,97420,0.0,328200000
28.0,324892835.0,1644547,1178790.0,19029.0,366736.0,98063,0.0,328200000
29.0,324854836.0,1663576,1184925.0,18909.0,379157.0,98597,0.0,328200000
30.0,324817750.0,1682485,1197098.0,18473.0,384902.0,99292,0.0,328200000
31.0,324776900.0,1700958,1207250.0,22632.0,391508.0,100752,0.0,328200000
32.0,324729976.0,1723590,1220146.0,24423.0,399991.0,101874,0.0,328200000
33.0,324681510.0,1748013,1236764.0,24222.0,406446.0,103045,0.0,328200000
34.0,324637798.0,1772235,1249928.0,19561.0,416461.0,104017,0.0,328200000
35.0,324596950.0,1791796,1241033.0,20815.0,444758.0,104648,0.0,328200000
36.0,324554854.0,1812611,1247640.0,21251.0,458231.0,105413,0.0,328200000
37.0,324514231.0,1833862,1261773.0,19902.0,463868.0,106364,0.0,328200000
38.0,324473163.0,1853764,1265087.0,21362.0,479258.0,107366,0.0,328200000
39.0,324421772.0,1875126,1279447.0,30259.0,485002.0,108394,0.0,328200000
40.0,324369054.0,1905385,1301553.0,22773.0,491706.0,109529,0.0,328200000
41.0,324327692.0,1928158,1314832.0,18236.0,500849.0,110233,0.0,328200000
42.0,324291850.0,1946394,1326987.0,17710.0,506367.0,110692,0.0,328200000
43.0,324256073.0,1964104,1331895.0,18247.0,518522.0,111159,0.0,328200000
44.0,324216439.0,1982351,1342640.0,21601.0,524855.0,112114,0.0,328200000
45.0,324172737.0,2003952,1354036.0,22757.0,533504.0,113014,0.0,328200000
46.0,324124117.0,2026709,1369235.0,25772.0,540292.0,113875,0.0,328200000
47.0,324072702.0,2052481,1386931.0,25776.0,547386.0,114724,0.0,328200000
48.0,324027977.0,2078257,1402484.0,19214.0,556606.0,115462,0.0,328200000
49.0,323988528.0,2097471,1416510.0,19888.0,561816.0,115787,0.0,328200000
50.0,323944806.0,2117359,1421565.0,23759.0,576334.0,116177,0.0,328200000
51.0,323894207.0,2141118,1437265.0,26915.0,583503.0,116992,0.0,328200000
52.0,323840540.0,2168033,1453382.0,28112.0,592191.0,117742,0.0,328200000
53.0,323780986.0,2196145,1473505.0,31818.0,599115.0,118431,0.0,328200000
54.0,323716681.0,2227963,1496740.0,32811.0,606715.0,119090,0.0,328200000
55.0,323658904.0,2260774,1517940.0,25268.0,617460.0,119654,0.0,328200000
56.0,323600095.0,2286042,1539180.0,32617.0,622133.0,119933,0.0,328200000
57.0,323532860.0,2318659,1551702.0,36207.0,640198.0,120374,0.0,328200000
