,County,S,E,Ia,Is,R,P
0,Alachua,68779.0,71202.0,35601.0,35601.0,0.0,343.895
0,Mercer,12382.0,13998.0,6999.0,6999.0,0.0,61.910000000000004
0,Suffolk,32053.0,22572.0,11286.0,11286.0,0.0,160.26500000000001
1,Alachua,66956.73438563856,66612.74825058859,34854.154506152576,37326.15720667629,5289.498030869467,5422.558556686327
1,Mercer,12060.513697329281,13060.741689470544,6851.682858742108,7337.013578178089,1039.8509360827993,1061.237829585566
1,Suffolk,31149.588707829433,21427.610057873542,11053.562611936297,11842.984693826396,1677.2033260883563,1762.3016759333705
2,Alachua,65199.03835561257,62399.388098079,34043.488984335236,38649.059540428374,10603.238139048155,9777.255874213559
2,Mercer,11750.04166389899,12202.094423475033,6690.979213324339,7593.986161175826,2084.2401540086657,1917.8400210124817
2,Suffolk,30278.147890066528,20363.773371887237,10808.40512788332,12289.97647654623,3364.1100651999645,3138.372345649049
3,Alachua,63506.1523158307,58528.26971626125,33183.319272735804,39621.61859713057,15909.2082529627,13488.132554066211
3,Mercer,11450.999999859967,11414.677019583341,6519.8788358547945,7780.5324683201,3126.691345918006,2647.337060986591
3,Suffolk,29438.563029482957,19373.465470411003,10553.525424057105,12639.837668409175,5052.212728453681,4315.105793486549
4,Mercer,11163.38057445325,10692.12876131661,6340.971237174965,7906.067453869213,4161.708148134856,3263.8739389110865
4,Suffolk,28630.215369805785,18450.71490823906,10291.531056438562,12904.091212969763,6734.156805998927,5316.062193237873
4,Alachua,61877.6165868039,54969.237554385,32286.06041342085,40289.958615431875,21180.17405971293,16627.495737537633
5,Suffolk,27852.40711992951,17590.11995674126,10024.686274331836,13093.061679349363,8403.61389904861,6162.097586090065
5,Alachua,60312.67463041934,51694.96765052467,31362.44801657982,40695.031971642224,26393.11517427599,19260.49431666489
5,Mercer,10887.09553697315,10028.703654870767,6156.494083539443,7978.93871609126,5184.657359581752,3780.2366633065535
6,Suffolk,27104.394922832606,16786.77146734116,9754.951293350048,13215.99592994825,10055.168170396528,6871.683156643897
6,Alachua,58810.334529064596,48680.679192658834,30421.7325706756,40873.16387244461,31528.72513521648,21445.74954041842
6,Mercer,10622.002245052754,9419.196564776123,5968.374312692736,8006.540410898249,6191.665343729431,4207.963121866601
7,Suffolk,26385.40360253557,16036.200616571634,9484.017028470817,13281.17106698411,11684.214613939997,7461.184748264367
7,Mercer,10367.91506020491,8858.887641797623,5778.264670498374,7995.415208291834,7179.525541303924,4557.448078087134
7,Alachua,57369.41252337434,45903.884953733956,29471.85345644022,40856.54346406546,36570.96310852392,23235.943126185517
8,Mercer,10124.613639888094,8343.494660976492,5587.576094382974,7951.345304151606,8145.616423790863,4838.041589620362
8,Suffolk,25694.635350361506,15334.335093569212,9213.3360199145,13295.991536887032,13286.867840450592,7945.108034688429
8,Alachua,55988.568539107866,43344.17032818437,28519.59293137305,40673.66163415407,41506.65710285828,24678.358575423812
9,Mercer,9891.84976987347,7869.130464566573,5397.506618630022,7879.434216008152,9087.828283944287,5058.141073268859
9,Suffolk,25031.276875437474,14677.460658471122,8944.149990021275,13267.076546832282,14859.88035813003,8336.313637253455
9,Alachua,54666.337135368114,40982.99346511524,27570.714091499533,40349.70596963298,46325.14854195195,25815.381993737876
10,Mercer,9669.353078483906,7432.264953397105,5209.067022119549,7784.179912492073,10004.49832086616,5225.276880769167
10,Suffolk,24394.505363310214,14062.186843253061,8677.514405662478,13200.338804645315,16400.569370110916,8646.20611724313
10,Alachua,53401.15410922529,38803.506022084126,26630.083165473865,39906.91367549517,51017.97729641231,26684.961723005308
11,Suffolk,23783.493539941832,13485.41617013388,8414.320383201682,13101.055496235853,17906.751186869813,8884.900356809649
11,Alachua,52191.37963008698,36790.39149833055,25701.778364942744,39364.888205870935,55578.60150321965,27321.02999407637
11,Mercer,9456.83595736517,7029.690862062102,5023.103653230385,7669.540390527701,10894.352936737645,5346.1915859225965
12,Alachua,51035.318346666514,34929.71931855128,24789.186746785865,38740.88337554832,60002.1484248463,27753.88910288404
12,Mercer,9253.997801624007,6658.492950572861,4840.318698155665,7538.992384460568,11756.456565551753,5426.913213180464
12,Suffolk,23197.413988183445,12944.316494776514,8155.314200597664,12973.93222634119,19376.68252621124,9061.368029751357
13,Alachua,49931.23672648995,33208.81347520362,23895.090061894258,38050.05747529028,64285.19384202227,28010.563899453526
13,Mercer,9060.528673948545,6316.020205701119,4661.288201888518,7395.584001814906,12590.166250794715,5472.822662645839
13,Suffolk,22635.442840894048,12436.296103979055,7901.114677806664,12823.160640135784,20809.007985325905,9183.566741913704
14,Mercer,8876.112456268684,5999.86078547837,4486.478050697641,7241.981826669993,13395.091438029247,5488.715629712728
14,Suffolk,22096.76293387734,11958.98127461347,7652.2286522857685,12652.470353477178,22202.713055446722,9258.554029530058
14,Alachua,48877.378101049246,31616.133632985788,23021.741275216744,37305.701765632795,68425.565647654,28115.123730036757
15,Suffolk,21580.566485440253,11510.196041258952,7409.064750134,12465.175750734494,23557.082118743987,9292.588075681302
15,Alachua,47871.97553463747,30141.168105177723,22170.93223452095,36519.44461439246,72422.1704012143,28088.975319081903
15,Mercer,8700.429556821946,5707.8194138749295,4316.258145449112,7080.513084888123,14171.05839789583,5478.859342723056
16,Suffolk,21086.057359415965,11087.94394855902,7171.945632000202,12264.21815141926,24871.660926205714,9291.216764863126
16,Alachua,46913.26285108204,28774.337175795965,21344.053713251516,35701.434476135866,76274.83968734667,27951.129189313913
16,Mercer,8533.159227331946,5437.896976536075,4150.914963212774,6913.203384559456,14918.078775220954,5447.04442613675
17,Suffolk,20612.452961279847,10690.391588031083,6941.118875321298,12052.203800636427,26146.223101428597,9259.356497785111
17,Alachua,45999.48402043357,27506.905801508437,20542.148602768906,34860.50375536216,79984.19427365653,27718.441557123842
17,Mercer,8373.981536654564,5188.272100321453,3990.662679390141,6741.810481824567,15636.321823295031,5396.632223528767
18,Alachua,45128.90109678685,26330.904777030166,19765.95898307655,34004.31548205671,83551.52418023131,27405.83373636656
18,Mercer,8222.57904204767,4957.284520350507,3835.6530054457794,6567.854478907312,16326.089926064307,5330.597910659052
18,Suffolk,20158.98581845228,10315.85371027803,6716.766661388655,11831.438160313719,27380.74019418838,9201.362207795926
19,Mercer,8078.638196463537,4743.420048320189,3685.9838889204325,6392.644840226544,16987.79703252787,5251.569711685515
19,Suffolk,19724.90486465332,9962.779824710111,6499.014338603784,11603.956708363658,28575.355078210476,9121.089114512728
19,Alachua,44299.8008794732,25239.059530018665,19015.967732755176,33139.494553544726,86978.68294899234,27026.490942996814
20,Mercer,7941.850512120264,4545.297042116338,3541.707153983043,6217.304433814795,17621.949802393694,5161.864418524502
20,Suffolk,19309.476481486683,9629.742067468156,6287.938038644691,11371.552747051077,29730.358193215383,9021.947735513295
20,Alachua,43510.500456357295,24224.725770647256,18292.435290018195,32271.74517042794,90267.99452725967,26592.042195403024
21,Mercer,7811.913543887443,4361.6540640814155,3402.8353275471286,6042.791245582098,18229.130834594453,5063.5197988061755
21,Alachua,42759.351746143715,23281.831415244564,17595.432018706786,31405.955684027987,93422.1715862583,26112.722781340606
21,Suffolk,18911.985320539796,9315.424236212344,6083.571426855623,11135.802458053124,30846.166396104705,8906.952772840594
22,Alachua,42044.745208567394,22404.82394418741,16924.86683568467,30546.292615135193,96444.24357009973,25597.521322469773
22,Suffolk,18531.734930458806,9018.611884920905,5885.9116722346125,10898.087455019462,31923.304173423425,8778.766457300706
22,Mercer,7688.531667338881,4191.338844339694,3269.3475571668437,5869.917523602501,18809.98421827994,4958.323742756761
23,Alachua,41365.112799516464,21588.622798547072,16280.51240308404,29696.284668748616,99337.4936845191,25054.31248006795
23,Mercer,7571.416712790643,4033.2982456552572,3141.1948579210957,5699.366980573413,19365.2027977227,4847.840731163076
23,Suffolk,18168.04821593692,8738.183362513022,5694.9247302916665,10659.615103176631,32962.386947911495,8639.737154211569
24,Alachua,40718.930213350315,20828.576577096213,15662.02705956785,28858.897235343677,102105.40436779392,24489.976075609935
24,Mercer,7460.288456638125,3886.5692164585835,3018.3046966506254,5531.710080730214,19895.517129075026,4733.435693072874
24,Suffolk,17820.26774907209,8473.1017052222,5510.550009980487,10421.436817877338,33964.106270640754,8491.933708447139
25,Suffolk,17487.755951968476,8222.407298858181,5332.704491044847,10184.464539241608,34929.21670486972,8337.176009090641
25,Alachua,40104.71859745588,20120.424115514368,15068.974209360162,28036.599302983635,104751.6093786011,23910.50478806852
25,Mercer,7354.875003739707,3750.2705623548736,2900.5850447716534,5367.41776079972,20401.685792186756,4616.2955744735045
26,Alachua,39521.045780121836,19460.25921150208,14500.839339669305,27231.423264119858,107279.85205233727,23321.10115387256
26,Mercer,7254.9130597525445,3623.5955301420504,2787.927900228989,5206.873594478832,20884.487054581645,4497.448762704092
26,Suffolk,17169.89516875214,7985.211230014423,5161.286355721368,9949.48557313575,35858.52421466892,8177.062249809778
27,Mercer,7160.148113560359,3505.8050983284115,2680.2123586534067,5050.384617171837,21344.711681609446,4377.782613410839
27,Alachua,38966.52704823549,18844.498782275266,13957.044819633446,26445.018053743956,109693.94932282955,22726.26458972042
27,Suffolk,16866.087639537385,7760.689268179243,4996.17817972852,9717.17593649522,36752.87592409594,8012.993196211287
28,Suffolk,16575.755392697673,7548.076405392577,4837.249740185941,9488.112379763019,37613.15107755703,7846.193846632205
28,Alachua,38439.82554854258,18269.854050815717,13436.962779250634,25678.696451615233,111997.76072693257,22129.869742105177
28,Mercer,7070.334547071981,3396.221885671899,2577.307302521362,4898.190993478937,21783.156716900572,4258.059162166652
